entry_id,status,matches,len
 =g&apos;aad_ea75dfe4-c1ed-4061-9274-9d1552506703,delete from clean,"{' =gʹaad_ea75dfe4-c1ed-4061-9274-9d1552506703': (' =gʹaad', 1.0)}",1
a=1_98d55498-71bc-4897-9198-3842f5c02b2f,delete from clean,"{'a _98d55498-71bc-4897-91983842f5c02b30': ('a ', 1.0)}",1
a=2_a3b0444d-bbca-4fd6-8dcb-0e21c4ac2a94,delete new,"{'a _98d55498-71bc-4897-91983842f5c02b30': ('a ', 1.0)}",1
aanh_62913159-562d-47ef-be16-d31135de400e,merge clean w/ ä̃nh ,"{'ã:ɲ_9bc7cbd8-5d64-4c37-973ffcde6b72cd61': ('ã:ɲ', 0.9285714285714286)}",1
ab&apos;aap_fb163b95-c7fc-49f2-a57f-52ccffdb1ec2,delete new,"{'aba̰:p_fb163b95-c7fc-49f2-a57f52ccffdb1ec3': ('aba̰:p', 1.0)}",1
ab&apos;ëëh_61005ddd-f254-40c6-b2cd-2f1a0e5ce7b4,delete new,"{'abə̰:h_61005ddd-f254-40c6-b2cd2f1a0e5ce7b5': ('abə̰:h', 1.0)}",1
ah&apos;ook_35fa4e5d-3c45-485c-86fc-f0fe63c0413f,delete new,"{'aho̰:k_35fa4e5d-3c45-485c-86fcf0fe63c04140': ('aho̰:k', 1.0)}",1
ah&apos;ũũm_7101b90d-ca9a-4580-9d2a-d92b4ebe63d7,delete new,"{'ahṵ̃:m_7101b90d-ca9a-4580-9d2ad92b4ebe63d8': ('ahṵ̃:m', 1.0)}",1
ah&apos;ỹỹh_135b490e-7cf7-4eff-8dca-45dfe71ddf22,delete new,"{'aɨ̃:_19e218c6-b4ae-40c8-b4d6d7227c76b973': ('aɨ̃:', 0.8636363636363636), 'ahɨ̰̃:t_bc76a4f6-6266-4537-88b92837a102a9e2': ('ahɨ̰̃:t', 0.8928571428571429), 'hahɨ̃:h_c9b7d1df-1bb9-48d2-a71caf0fdd38ed71': ('hahɨ̃:h', 0.8928571428571429), 'hɨ̃:h_e2aac6ce-87d1-4108-851938b7d7501b1b': ('hɨ̃:h', 0.875), 'ahɨ̃:h_f733ec49-2377-44b4-8f60a93e6a22ff4f': ('ahɨ̃:h', 0.9615384615384616)}",5
ah&apos;ỹỹt_bc76a4f6-6266-4537-88b9-2837a102a9e1,"delete new, make kah’yyt variant of ah’yyt","{'ahɨ̰̃:t_bc76a4f6-6266-4537-88b92837a102a9e2': ('ahɨ̰̃:t', 1.0)}",1
aj&apos;yy_ece00d00-4ed6-47ba-9536-ac3be8cafafe,delete from clean,"{'ajʹyy_ece00d00-4ed6-47ba-9536-ac3be8cafafe': ('ajʹyy', 1.0)}",1
akajaa_83922ee0-946f-468f-b13d-bdba82d957ba,Emily’s data from the texts? can probably ignore,"{'kaja:_83922ee0-946f-468f-b13dbdba82d957bb': ('kaja:', 0.9090909090909091)}",1
b&apos;aah_9a798bc9-9bf5-4180-8f96-f27a6ea870ba,delete from clean,"{'bʹaah_20a69c66-ccf7-44e3-80f2-9c04da85502d': ('bʹaah', 1.0)}",1
b&apos;ëëp_61864f59-37ff-4169-92dc-b8034e5db3e3,delete from clean,"{'bə̰:p_61864f59-37ff-4169-92dcb8034e5db3e4': ('bə̰:p', 1.0)}",1
ba1_6b7a5021-dce2-4c28-9d18-c59209596756,remove all,"{'ba_6b7a5021-dce2-4c28-9d18c59209596757': ('ba', 1.0)}",1
ba2_f1aeb631-c77e-4580-ada5-3603d76e1db5,delete from clean,"{'ba_6b7a5021-dce2-4c28-9d18c59209596757': ('ba', 1.0)}",1
bä3_87d8763d-27a3-470d-afd7-f76bd5d3b8be,"3 copies in flex data, delete 1 & 2 (keep this one); delete from clean","{'bʌ_8df25412-204a-46bc-a7873ef67101e1ce': ('bʌ', 1.0), 'bʌ_d715fe9e-35d6-4cb9-b7ddca28a1e3c7a5': ('bʌ', 1.0)}",2
bëëh_962a8de8-7f65-4e60-b8a4-c16d27943a32,delete from clean,"{'bëëh2_59d8bf5a-dd20-44e8-b7a9-5081bab044ae': ('bëëh', 1.0), 'bə:h_962a8de8-7f65-4e60-b8a4c16d27943a33': ('bə:h', 1.0)}",2
ber&apos;oot_b839cb0e-8c87-4033-98be-0060ab0d93ee,PFX + r’oot – but we should probs handle prefixes later,"{'her’oot_fcd85a56-cfb3-4e88-b636-3a81739ffd26': ('her’oot', 0.8928571428571429), 'hero̰:t_d42677cf-1d23-49c3-b1ed1d7c4b59b99d': ('hero̰:t', 0.8928571428571429)}",2
biin2_e6e5bae8-d2ad-412e-b701-c994681eb9d5,delete from clean,"{'bi:n_e6e5bae8-d2ad-412e-b701c994681eb9d6': ('bi:n', 1.0)}",1
boog_62ca10cf-1f6b-4649-90fa-b022c5c34283,delete from clean,"{'boog1_62ca10cf-1f6b-4649-90fa-b022c5c34283': ('boog', 1.0)}",1
