entry_id,def,status,matches
g&apos;aad_ea94d6c7-c31e-417e-a17f-4f560dc6bffa,headwater;cabeçeira,are g’aad (cabeceira) & =g’aad (folha) two different words? - ask Karol,"{'ka??:d_0e39e610-eab0-434f-95dba602eca2041e': ('ka??:d', 'terra')}"
nag&apos;aap h?_d061f271-a505-4648-839a-49668d255562,now;agora,are these two different words? - ask Karol,"{'naga he?_3980fa65-cfdf-4ed7-8a6b2b965258d605': ('naga he?', 'hoje')}"
tëëg hõõ_d8c36eed-f9d1-43ea-a049-1b237a789149,bonfire;fogeira,hõõ or hood? Ask Karol,"{'tëëg hood_d8c36eed-f9d1-43ea-a049-1b237a789149': ('tëëg hood', 'bonfire;fogeira')}"
tëëng1_973a6d9c-adec-4a58-98e0-2ac2c9961a59,firewood;lenha,is this tÿÿg? Ask Karol,"{'t’ëëng_7fad6677-006f-46f7-991e-8fd6199e5d12': ('t’ëëng', 'tapir;anta'), 't?:?_e2b5fecf-076d-455e-afca70e5369e1d23': ('t?:?', 'assoalho')}"
pyym_48a754db-ea05-4440-bcad-eec33e19477e,snake.poison;veneno.cobra,make p’yym spelling variant of pyym?,"{'p’yym1_c58f3f30-b24e-49b3-89c7-a8dbbcc5fc5b': ('p’yym', 'curare;curare')}"
ta-_c0e73567-fba2-4e50-87f1-ea99f887fc7c,3SG.POSS;3SG.POSS,merge entries,"{'ta=_6b321888-48e5-4284-8888-97bf4c031f6b': ('ta=', '3SG.A;3SG.A')}"
e&apos;??m_f10c9014-71b7-47c5-94e5-6838e40da1fe,scare;causar.medo,merge e??m and e’??m – review w/ Karol,"{'e??m_db33bb76-0902-4cd5-a8db-eb1f7bdaefba': ('e??m', 'fear;ter.medo')}"
e??m1_db33bb76-0902-4cd5-a8db-eb1f7bdaefba,fear;ter.medo,merge e??m and e’??m – review w/ Karol,"{'??m3_be33ca3b-f6a1-4066-b50a-97e305ec90bb': ('??m', 'wife;esposa'), 'e??m_db33bb76-0902-4cd5-a8db-eb1f7bdaefba': ('e??m', 'fear;ter.medo'), '??:m_b7f8608c-1aaa-4014-b04d968cde2f7f88': ('??:m', 'fear;ter.medo')}"
e??m2_b7f8608c-1aaa-4014-b04d-968cde2f7f87,fear;ter.medo,merge e??m and e’??m – review w/ Karol,"{'??m3_be33ca3b-f6a1-4066-b50a-97e305ec90bb': ('??m', 'wife;esposa'), 'e??m_db33bb76-0902-4cd5-a8db-eb1f7bdaefba': ('e??m', 'fear;ter.medo'), '??:m_b7f8608c-1aaa-4014-b04d968cde2f7f88': ('??:m', 'fear;ter.medo')}"
hah??h1_c9b7d1df-1bb9-48d2-a71c-af0fdd38ed70,este,merge these 3 – barriga/assim/este? Ask Karol,"{'hah??:h_c9b7d1df-1bb9-48d2-a71caf0fdd38ed71': ('hah??:h', 'este')}"
?1_acdb0c0b-2c0f-454f-91d1-eea4498bebf7,,"multiple copies, handle w/ Karol","{'??1_69bb7e8c-5cfd-44b4-ae68-52a804cc60ed': ('??', None), '??:_940740bd-e5dd-4023-b3e383d09a805728': ('??:', None)}"
puud_6aac88b8-8517-4460-9bb1-0a8642d54dab,song.dabucuri;canto.dabucuri,pud vs puud two different words? Ask Karol,"{'pud_bc1dd6d3-4e78-41a7-888f-9200c232f3bc': ('pud', 'kapiwaya;kapiwaya')}"
daari_e0d51ab9-3b01-4ddc-a793-7ce101f41753,,was this entry intentional? (ask Karol),"{'daar_76bad5b4-e619-4d3c-b911-8e14ae184d16': ('daar', 'cicada.sp;cigarra.sp')}"
ër_139ca9bb-450f-4124-8497-3fa5f304fa62,1PLincl;1PLincl,what happened to ëër? Ask Karol,"{'ëër_139ca9bb-450f-4124-8497-3fa5f304fa62': ('ëër', '1PLincl;1PLincl')}"
