entry_id,entry_id,bibliography,date,date_modified,headword,morph_type,note,other_sources,pronunciation,sense,these_vars,variant_of
ëër_139ca9bb-450f-4124-8497-3fa5f304fa62,ëër_139ca9bb-450f-4124-8497-3fa5f304fa62,Fieldnotes Epps/Obert; 2018,2018-07-10T23:50:09Z,,ëër,stem,{},,ʔǝǝɾǝ,['2ead3007-e5a6-45a3-bafa-401642bb2ba8'],,{}
ër_139ca9bb-450f-4124-8497-3fa5f304fa62,ër_139ca9bb-450f-4124-8497-3fa5f304fa62,Epps/Obert Fieldnotes 2018,2018-07-10T23:50:09Z,2020-01-08T19:26:05Z,ër,stem,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},{},ʔǝɾǝ,['2ead3007-e5a6-45a3-bafa-401642bb2ba8'],{},
,,,,,,,,,,,,
seeh2_1cfd2a36-ecf9-42a1-8bdc-2975ec83305d,seeh2_1cfd2a36-ecf9-42a1-8bdc-2975ec83305d,Fieldnotes Epps/Obert; 2018,2018-07-07T17:55:36Z,,seeh,phrase,{},,ʃe:h,['1df41774-55b8-4973-9205-89e0e4227579'],,"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
seeh_1cfd2a36-ecf9-42a1-8bdc-2975ec83305d,seeh_1cfd2a36-ecf9-42a1-8bdc-2975ec83305d,Epps/Obert Fieldnotes 2018,2018-07-07T17:55:36Z,2019-11-05T20:05:12Z,seeh,phrase,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},{},ʃe:h,['1df41774-55b8-4973-9205-89e0e4227579'],{},"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
,,,,,,,,,,,,
jaah_73c5535f-972b-4711-b80a-904d9c468a08,jaah_73c5535f-972b-4711-b80a-904d9c468a08,Fieldnotes Epps/Obert; 2018,2018-07-11T00:07:32Z,,jaah,stem,{},,ja:h,['c9f767f7-b1b3-4859-b9bf-21721018cdf4'],,{}
jaa_73c5535f-972b-4711-b80a-904d9c468a08,jaa_73c5535f-972b-4711-b80a-904d9c468a08,Epps/Obert Fieldnotes 2018,2018-07-11T00:07:32Z,2019-12-13T15:46:33Z,yaa,stem,{'bibliography': 'Fieldnotes Epps/Obert; 2018'},{},ja:h,['c9f767f7-b1b3-4859-b9bf-21721018cdf4'],{},
,,,,,,,,,,,,
nu k’ëë_740bd66c-bce6-41f0-b0db-badc43e94128,nu k’ëë_740bd66c-bce6-41f0-b0db-badc43e94128,Fieldnotes Epps/Obert; 2018,2018-07-07T17:41:08Z,,nu k’ëë,phrase,{'Note': 'problem: nũ kǝʔeʔ or  nũ kɨʔɨʔ'},,nũ kǝʔeʔ,['60ce194c-de53-425d-94f3-03645fc7df79'],,"{'null': {'type': '_component-lexeme', 'complex-form-type': 'Unspecified Complex Form'}}"
