entry_id,variants
saroop_49b0da68-47ae-42c0-ac17-b23a42c0e42e,{'ʃaɾoːp_0023c0a0-6de7-452a-85b6-0f6e0794014a': 'undef'}
sëëw_7c511834-586a-456c-884a-02fda6ccd6aa,{'ʃɤːw_009b3e07-21aa-4c01-aeda-2447f5bc3e94': 'undef'}
nag’aad_a2653c1c-526b-4da1-aaeb-c2f393797942,{'naga̰ːd_00bdbea3-65ff-4c88-bb09-064fdb77ec72': 'undef'}
wog_498db3e4-f431-454a-9be0-f767c01c3ed5,{'ʔawog_00f7b57b-f98c-4687-bea0-9f62e1329d93': 'undef'}
agõng_0100623e-019f-4443-b775-20ca89bf8c76,{'gõng_ad75e40d-e34f-4639-8ee4-f2636198b312': 'Cartilhas'}
awyp_c03f1cde-a2d3-4391-b4fb-7570ba1cd909,{'ʔawɨp_01681d16-ebbc-4e5a-bea3-69455f2eb76e': 'Weir'}
jag2_c3965c56-0a44-4337-9442-b76f3f1ecc37,{'jag1_01f9bb3f-592f-4c82-b820-5c534600a288': 'SIL Dict 2011'}
p’aa hẽnh_022f0eb2-2301-40e8-809c-927ccebeff3c,{'pʹaa hẽnh_988a43b7-7d72-4d87-be1d-c63c761e1dc2': 'SIL Dict 2011'}
roor_3015a52d-88c5-432a-befd-e2eab5325dc6,"{'ʔaɾoːɾ_02510f6f-9440-4065-8ef1-609ab7927a49': 'undef', 'ɾoːɾ_4cf16e5f-320d-49e2-a128-4ae50a674b2b': 'undef'}"
tawarẽẽh1_025c1d2a-ce6b-4f4a-89c6-58f7995ce55a,{'tawarẽẽh2_642a50b2-2f1f-4a04-9d77-79bea7e1cdc9': 'DELETE\\'}
h’ëëd_025fec92-6af8-4d61-8544-bdb0e0362545,"{'hʹëëd2_9e74513c-440f-4e3d-9106-81f0bcd89d90': 'SIL Dict 2011', 'hʹëëd1_a60368d9-bc6d-49b9-aeef-eaa8980142fa': 'SIL Dict 2011'}"
jeer2_02adeefa-c0e5-4849-95e7-63f3e5494313,{'jeer1_dcf38115-f9b7-41ec-b6ae-538a587c6415': 'DELETE'}
h’ëëb_2d2a4415-053e-4b4e-bf26-6a3fb35e5a49,{'hɯ̰ːb_030b2a7d-4650-45f3-a4e4-5c6c0edeb33e': 'undef'}
naëng_031a7339-0644-4618-af27-88f71d6565db,{'naʔəŋ2_53d64a2f-8e76-45e0-912f-3064e781e9fa': 'undef'}
asooh_045c762b-0b2e-4233-a013-7e921270d050,{'sooh_e9c38f60-21ca-4df6-98bc-73b6d002930b': 'Weir'}
manayyn_c4a009b5-b17a-4f90-8a6d-7a9563252e24,{'manaɨɨn_0519d13e-de74-4be6-9a95-081baa8e3956': 'Weir'}
tii2_d3db1b0f-4558-4e63-94dc-a2d6b0d31def,"{'tatiʔ_0585473a-015e-4c8d-8204-f0cdcdef9673': 'undef', 'tii1_487f32cf-ecef-4acb-b46f-049fe7ed4361': 'Cartilhas', 'ti_6e529536-55b7-49da-b65f-093cf90a0686': 'Cartilhas', 'tatɨʔ_bff6445e-d390-4aad-ab41-55bd70892fac': 'Weir'}"
takʹëp_713254c9-c9a3-408e-89d8-f85183abb1e8,{'takɤ̰p_05bff17e-0f67-47a7-8c0f-aaeb5194a218': 'undef'}
basooh2_c72d9c5c-d8fc-4c06-9f6d-f9ef9f262f1a,{'basong_061b4156-051a-46d0-8236-0cd083292685': 'denominal?'}
hajʹaa_0e588062-5b1b-40b9-be20-57b3c3c79c71,{'moo hajʹaa_06db6091-79d5-477c-a422-797dfc4e6c9b': 'unknown verbal inflection'}
duuh_1c1e2650-1809-4f40-a148-33b3a990262f,{'duːh2_8cad8cbe-211f-4aa3-bd6e-b9d4d6bcebb8': 'undef'}
gatoj2_821cf217-373a-468c-809d-befd11a285c3,{'gatoj1_078662dd-26f4-4367-9768-df5ae4614a59': 'SIL Dict 2011'}
ahäng_080a15b9-a5d1-4501-a837-cf7c5c7cdc12,{'häng_9c3d24d0-89e3-4dbc-87a1-9a9ceca642a6': 'Cartilhas'}
tsäng_c466f8d0-c63e-4dce-83d9-8000648a6ee9,{'ɟʌŋ_09ce3a4d-30ad-4a1c-be7f-7d36d99bd019': 'undef'}
madyyk_09e54f3c-410b-415c-8850-75ea270e4552,"{'madɯːk_a79dbe05-2ba9-47a7-8e82-412e1dcbc089': 'undef', 'madiːk2_33d37501-2096-43ca-8bdd-cfcc695acd7c': 'undef'}"
manee1_0b01b419-7b9e-43f1-8118-21aa51edd0b7,{'manee2_17ccf89c-14a6-44b7-9d40-d8923bbf7d06': 'DELETE'}
jook2_0d9688b1-2ebf-46c8-b27e-708483cdaf63,{'jook1_20a62f2e-7271-429e-8256-71a0acc42b6d': 'DELETE'}
toog2_0f2dbd4f-1cba-4a76-b278-c720efdc0c0f,{'toog1_fc56d0a8-16ea-459f-9fff-c846b615c3e0': 'SIL Dict 2011'}
se_44710235-cb36-41d3-88f8-7a88edc7df2b,{'ʃeʔ_136f03ea-0223-4179-830f-577d41fa039e': 'undef'}
pʹooj ub_15ba43d2-22e3-4dab-b985-542fdf887812,{'pxóóyub_b3363668-3ab6-466f-af47-ad43777e43e2': 'Weir'}
harum_15ce4d3f-c20c-4b98-ac5e-19c13eada4af,"{'haɾum_89301e28-b653-49bf-bcdd-fac7eb6414e6': 'undef', 'haɾũm2_e7c19295-e5b4-4fbe-afa0-407f81dde475': 'undef'}"
panʹaa2_167b4818-2852-44f2-aef7-66c8c4ba3c2d,{'panʹaa1_4809c58f-bd46-4e6d-bb36-653e0b1ae33e': 'Cartilhas'}
mawããd1_1684f868-710c-423f-9f25-9473565c77bb,{'mawããd2_7c72d834-34e1-47a5-bc92-25a7e106455a': 'DELETE'}
aju_56ea33aa-145e-4f13-a0ce-5192ec690e52,{'baju_16b9f9ed-0cb5-4df0-b170-cdea3e4efea7': 'unknown verbal inflection?'}
awän_16edbafa-9f23-4587-bd92-330bd1726f90,{'awʌn_bdb900a7-eb03-4db1-bcc3-312f4043d469': 'undef'}
kad3_2bb9853a-cde8-48bc-bb30-42d80bf6419d,"{'kad2_18021c0e-2b82-4a41-9660-30edf844b0a1': 'Weir', 'kad1_ac90fcde-0e6b-43ae-a428-b693aca454e0': 'SIL Dict 2011'}"
péh1_ee911202-c9b9-436e-8f4e-23aff9b0cbb6,{'péh2_185742c8-a9c5-4745-b66a-a8f4f48aaf5c': 'Weir'}
tooh_6043f2b6-842d-49d1-9764-2fd9ab21b3ba,"{'tóóh_18f789fd-8b37-49ce-9f44-303247b20dde': 'Weir', 'toːh_7f0b89bd-c145-4365-b20a-74fab09a5887': 'undef'}"
[ji] wahëë_1a55a25e-11fb-4fd6-acf0-565fecd058a8,{'wahɤ̰ːh_ce80171b-4d63-4f72-9f46-5068f63719ab': 'undef'}
tũːʔ_22152a27-e164-405e-b4b5-f3b9d7f6331d,{'tũũh_1b11b954-a8f9-47e3-8041-e7ad344c4fb6': 'undef'}
hood_53da5edb-5f86-4600-8bbe-1d02414790f6,{'huːd_b2369c93-dd34-408b-8ca3-82a40aa1adee': 'undef'}
maseer1_1c4c09ee-329b-4f14-9e81-3d040511871d,{'maseer2_60ab7553-d019-468a-92ad-4b59c210100c': 'DELETE'}
yb2_1cc95316-b9fe-4093-9b14-e9c016496d4a,{'ɨb_3135659c-423f-4208-befc-ea379815ca59': 'Weir'}
masʹããh_1cea3332-ac1d-44f0-ad97-8d82420abd3c,{'masxãah_5ecd9230-e108-4922-aecb-9b7a921ae9b2': 'Weir'}
